Lighter Side
Hollywood Salad,17,4,33
Warm Ups
Texas Chicken Nuggets,6,13,43
Fit Salads
Italiano Salad with Grilled Chicken,13,17,48
Muscle Maker Wraps
MMG Signature Wrap,28,53,46
Sandwiches
Chicken Breast Signature Sandwich,24,39,51
Vegetarian
Vegetarian Italiano Salad,9,17,14
Power Pasta
Cajun Chicken & Penne,10,87,50
Guiltless Entrees
El Mexicana,8,56,45
Low Carb Solutions
Godfather,12,17,60
Extras
Grilled Chicken Breast,6,0,53
